Dataset,StratificationType,Fold_Seed,Fold,Property,EMD,KS_Stat
Cora,LabelStratifiedKFold,7,5,Neighborhood Heterogeneity,0.0146001811928437,0.0301924259626202
Cora,LabelStratifiedKFold,7,5,PageRank,2.021179308415763e-05,0.0663702811539586
Cora,LabelStratifiedKFold,7,5,Eigenvector Centrality,0.000910442374096,0.0483090757258729
Cora,LabelStratifiedKFold,7,5,Clustering Coefficient,0.009170587049345,0.0177080676625606
Cora,LabelStratifiedKFold,8,1,Degree,0.2194123880296966,0.0223821351786925
Cora,LabelStratifiedKFold,8,1,Neighborhood Heterogeneity,0.0223993121939364,0.0496792087034443
Cora,LabelStratifiedKFold,8,1,PageRank,1.6890228861210503e-05,0.0348423982854787
Cora,LabelStratifiedKFold,8,1,Eigenvector Centrality,0.0009453321993195,0.0389736722851993
Cora,LabelStratifiedKFold,8,1,Clustering Coefficient,0.0045942887702331,0.0116220829798325
Cora,LabelStratifiedKFold,8,2,Degree,0.2198212563843076,0.0190123784894358
Cora,LabelStratifiedKFold,8,2,Neighborhood Heterogeneity,0.023788121671589,0.0458682149148361
Cora,LabelStratifiedKFold,8,2,PageRank,1.700650064325359e-05,0.0284402012995199
Cora,LabelStratifiedKFold,8,2,Eigenvector Centrality,0.0006461792723329,0.0312375422923204
Cora,LabelStratifiedKFold,8,2,Clustering Coefficient,0.0077836937319027,0.0315067139591063
Cora,LabelStratifiedKFold,8,3,Degree,0.2913732184413248,0.0329786400357078
Cora,LabelStratifiedKFold,8,3,Neighborhood Heterogeneity,0.0107175435196497,0.0366788986449421
Cora,LabelStratifiedKFold,8,3,PageRank,2.60599480167438e-05,0.0542040184944785
Cora,LabelStratifiedKFold,8,3,Eigenvector Centrality,0.0007073283709266,0.0440623796819685
Cora,LabelStratifiedKFold,8,3,Clustering Coefficient,0.011476856050635,0.035321114984003
Cora,LabelStratifiedKFold,8,4,Degree,0.4235725429416389,0.0367101208089413
Cora,LabelStratifiedKFold,8,4,Neighborhood Heterogeneity,0.0157499245012471,0.0335745304078058
Cora,LabelStratifiedKFold,8,4,PageRank,3.474676805072626e-05,0.0371511165209618
Cora,LabelStratifiedKFold,8,4,Eigenvector Centrality,0.0007931765979376,0.041880091815819
Cora,LabelStratifiedKFold,8,4,Clustering Coefficient,0.0051310116635656,0.0130908340278091
Cora,LabelStratifiedKFold,8,5,Degree,0.5600372585932331,0.0135437715966347
Cora,LabelStratifiedKFold,8,5,Neighborhood Heterogeneity,0.0231609641807837,0.0400751654586909
Cora,LabelStratifiedKFold,8,5,PageRank,4.366993010461133e-05,0.0305975961042251
Cora,LabelStratifiedKFold,8,5,Eigenvector Centrality,0.0013775139083992,0.028349968055533
Cora,LabelStratifiedKFold,8,5,Clustering Coefficient,0.0143071517235634,0.0507904229720381
Cora,LabelStratifiedKFold,9,1,Degree,0.440133154794148,0.0317349987904311
Cora,LabelStratifiedKFold,9,1,Neighborhood Heterogeneity,0.0094542329230554,0.025203326825512
Cora,LabelStratifiedKFold,9,1,PageRank,3.3853297080509765e-05,0.0538786274289335
Cora,LabelStratifiedKFold,9,1,Eigenvector Centrality,0.00130418256726,0.0696302807903425
Cora,LabelStratifiedKFold,9,1,Clustering Coefficient,0.0101540954589588,0.0365681634655681
Cora,LabelStratifiedKFold,9,2,Degree,0.2317976919381378,0.0266156262670659
Cora,LabelStratifiedKFold,9,2,Neighborhood Heterogeneity,0.0128899786999721,0.0287468525654785
Cora,LabelStratifiedKFold,9,2,PageRank,1.6464006253556074e-05,0.0261897217310123
Cora,LabelStratifiedKFold,9,2,Eigenvector Centrality,0.0006027565084527,0.0309002258997659
Cora,LabelStratifiedKFold,9,2,Clustering Coefficient,0.0100700385750304,0.033091078833226
Cora,LabelStratifiedKFold,9,3,Degree,0.2508032559549965,0.0328525722930359
Cora,LabelStratifiedKFold,9,3,Neighborhood Heterogeneity,0.0139912949938785,0.0224485762863168
Cora,LabelStratifiedKFold,9,3,PageRank,2.281658410046646e-05,0.0558871932209626
Cora,LabelStratifiedKFold,9,3,Eigenvector Centrality,0.0007548952288083,0.0315305646131253
Cora,LabelStratifiedKFold,9,3,Clustering Coefficient,0.0170640505417721,0.0346396677263171
Cora,LabelStratifiedKFold,9,4,Degree,0.2603683039236693,0.0233471830439281
Cora,LabelStratifiedKFold,9,4,Neighborhood Heterogeneity,0.0110635526820947,0.0295552426030859
Cora,LabelStratifiedKFold,9,4,PageRank,1.848210158874129e-05,0.0297301055063048
Cora,LabelStratifiedKFold,9,4,Eigenvector Centrality,0.000585395407185,0.0438667049943404
Cora,LabelStratifiedKFold,9,4,Clustering Coefficient,0.0055148695992405,0.0131761330049891
Cora,LabelStratifiedKFold,9,5,Degree,0.370850951126246,0.0197603610535106
Cora,LabelStratifiedKFold,9,5,Neighborhood Heterogeneity,0.0051529489857372,0.0133919394172544
Cora,LabelStratifiedKFold,9,5,PageRank,2.6015224451864193e-05,0.0272206095976703
Cora,LabelStratifiedKFold,9,5,Eigenvector Centrality,0.0006048212897238,0.0394388350889284
Cora,LabelStratifiedKFold,9,5,Clustering Coefficient,0.0154741476597816,0.0264307410689838
chameleon,LabelStratifiedKFold,0,1,Degree,3.539509812422324,0.0353514552443712
chameleon,LabelStratifiedKFold,0,1,Neighborhood Heterogeneity,0.0106477946217817,0.0235194658805167
chameleon,LabelStratifiedKFold,0,1,PageRank,6.900884200251269e-05,0.0501929246510014
chameleon,LabelStratifiedKFold,0,1,Eigenvector Centrality,0.0006192414163505,0.0491452065088586
chameleon,LabelStratifiedKFold,0,1,Clustering Coefficient,0.0089265105206223,0.0301381542819156
chameleon,LabelStratifiedKFold,0,2,Degree,6.7164116014913535,0.0436067516402208
chameleon,LabelStratifiedKFold,0,2,Neighborhood Heterogeneity,0.0091741032322059,0.0260484407063788
chameleon,LabelStratifiedKFold,0,2,PageRank,9.430272140273396e-05,0.0394267175351888
chameleon,LabelStratifiedKFold,0,2,Eigenvector Centrality,0.001585054046487,0.0505867221595999
chameleon,LabelStratifiedKFold,0,2,Clustering Coefficient,0.0097050410861767,0.0284907078239255
chameleon,LabelStratifiedKFold,0,3,Degree,2.5196004873282503,0.0567134292710582
chameleon,LabelStratifiedKFold,0,3,Neighborhood Heterogeneity,0.0301902752705015,0.0591211203724924
chameleon,LabelStratifiedKFold,0,3,PageRank,2.42361323034894e-05,0.0425012967274218
chameleon,LabelStratifiedKFold,0,3,Eigenvector Centrality,0.0004631862505884,0.0611186837311974
chameleon,LabelStratifiedKFold,0,3,Clustering Coefficient,0.0111098119385614,0.037203411297813
chameleon,LabelStratifiedKFold,0,4,Degree,2.261002882956791,0.0504059058394953
chameleon,LabelStratifiedKFold,0,4,Neighborhood Heterogeneity,0.0108211939456814,0.0305026477364567
chameleon,LabelStratifiedKFold,0,4,PageRank,3.7261540115755934e-05,0.0387450091072484
chameleon,LabelStratifiedKFold,0,4,Eigenvector Centrality,0.0003242757051625,0.0287596048298573
chameleon,LabelStratifiedKFold,0,4,Clustering Coefficient,0.0140589507581961,0.046275678218598
chameleon,LabelStratifiedKFold,0,5,Degree,1.8550475868807332,0.0276522599244882
chameleon,LabelStratifiedKFold,0,5,Neighborhood Heterogeneity,0.0097379991151377,0.0210733284278838
chameleon,LabelStratifiedKFold,0,5,PageRank,3.801995483756939e-05,0.0446544673767505
chameleon,LabelStratifiedKFold,0,5,Eigenvector Centrality,0.0019749481935598,0.0477026815116826
