Dataset,StratificationMethod,StratSeed,DegreeEmd,NeighHetEmd,PageRankEmd,EigCentralityEmd,ClusteringEmd
Actor,RandomKFold,1,0.540736842105223,0.0077615383913446,9.816376515667549e-06,0.0002788365619366,0.0036585271334095
Actor,LabelStratifiedKFold,1,0.5054736842104866,0.0060030507553172,9.468123612903362e-06,0.0002906876167002,0.0032660425091474
Actor,RandomKFold,2,0.5777894736841707,0.0054011855899895,1.0485255007274146e-05,0.0004087266402128,0.0065349361272154
Actor,LabelStratifiedKFold,2,0.5479999999999603,0.0056885874787051,9.98257769997568e-06,0.0002978950912931,0.0066264791590431
Actor,RandomKFold,3,0.5276315789473288,0.0060919013616481,9.83327029287186e-06,0.0002574079023538,0.0051831055691524
Actor,LabelStratifiedKFold,3,0.6163157894736446,0.0078116995311881,1.0702328982436904e-05,0.0003673511540589,0.0043130218822983
Actor,RandomKFold,4,0.50721052631575,0.0068536361740215,9.293377969987334e-06,0.0003511758988569,0.0034278111675473
Actor,LabelStratifiedKFold,4,0.5454736842104863,0.0064567964047585,9.73567270082701e-06,0.0002588011650752,0.0044957764755746
Texas,RandomKFold,0,1.1217594643824156,0.0247487061747149,0.0018004281764344,0.0098571081918884,0.0458402648690009
Texas,LabelStratifiedKFold,0,1.1905331561069257,0.0301548667328722,0.0018936655252918,0.0086462343620481,0.038769190416633
Texas,RandomKFold,1,1.1315413774430172,0.0267653628065659,0.0017823411855619,0.0103875679029617,0.0451846137295279
Texas,LabelStratifiedKFold,1,1.1167503569142905,0.0360387872661174,0.0017882061052019,0.0082346223703442,0.0645458171825462
Texas,RandomKFold,2,1.175372913897503,0.0268817074741029,0.0017828365068023,0.0091271413234521,0.0498699509549281
Texas,LabelStratifiedKFold,2,1.2550731058927789,0.0265012022811753,0.0019547312249487,0.0101920547551053,0.073549892553873
Texas,RandomKFold,3,1.0482794269679507,0.0237406318234728,0.0017496894783737,0.0087458449015679,0.0406969953705464
Texas,LabelStratifiedKFold,3,1.1645202579628804,0.0219724774329846,0.0018248683375913,0.0085137721059662,0.0570801318737938
Texas,RandomKFold,4,1.3005809087776306,0.0260956493024761,0.0020243958430896,0.012120315350562,0.0643465410979446
Texas,LabelStratifiedKFold,4,1.168662925220303,0.0204777816470948,0.0018974667569045,0.0087226454699332,0.0386035091253342
Cora,WDES_Degree,0,0.1424993945180752,0.0089241068676747,1.160348029809626e-05,0.0008276861530948,0.0091419454087177
Cora,WDES_NeighHet,0,0.2554872097100923,0.0023487876691079,1.7638264082380668e-05,0.0008547556293607,0.0124401785675842
Cora,WDES_PageRank,0,0.1624875388702056,0.0159968068617502,1.0131671253804257e-05,0.0008518539703091,0.0077385113471459
Cora,WDES_EigCentrality,0,0.2964047204286502,0.0069661531103556,2.1665598277775123e-05,0.0004771452961049,0.0091267685057528
Cora,WDES_Clustering,0,0.3243161792094299,0.0156264569763439,2.4139391607649344e-05,0.0010377519390186,0.0022618769579033
Cora,WDES_Degree,1,0.1408344353445189,0.0104010961501807,1.2143329380026557e-05,0.0007561319348847,0.0086332870283239
Cora,WDES_NeighHet,1,0.2499813647882395,0.0027068486974845,1.7573961196495745e-05,0.0009980972099784,0.0108871754486705
Cora,WDES_PageRank,1,0.1725859456641283,0.0141463943449544,1.0368235096989276e-05,0.0008505820732145,0.0072816300988992
Cora,WDES_EigCentrality,1,0.2594052578187303,0.0113460587422493,1.9818110031873165e-05,0.0004854727987298,0.0155629511309254
Cora,WDES_Clustering,1,0.1978933813206594,0.0088980645866578,1.5272858008024705e-05,0.000974678646915,0.0025237448304514
Cora,WDES_Degree,2,0.1393338819301615,0.0176848130096414,1.1541371843228096e-05,0.0007197452328476,0.0129137401935653
Cora,WDES_NeighHet,2,0.2627985468675624,0.0026305519083651,1.98621963552502e-05,0.0006758648407092,0.0130037918313074
Cora,WDES_PageRank,2,0.1551935810765497,0.006235849664001,9.86165893877141e-06,0.0008999104530854,0.0112173392064541
Cora,WDES_EigCentrality,2,0.3310543469632506,0.009559162877495,2.3866832092737755e-05,0.000487561743913,0.0167732198683787
Cora,WDES_Clustering,2,0.2707418712408351,0.0144246064316628,1.919076598158097e-05,0.0008725385081124,0.0029819880098757
Cora,WDES_Degree,3,0.1415895843185606,0.0113794584160871,1.3287114644045456e-05,0.0008652343363722,0.0082541358595202
Cora,WDES_NeighHet,3,0.2285520419810448,0.0020992182961508,1.7070860227243893e-05,0.0007529073929913,0.0092707359011294
Cora,WDES_PageRank,3,0.1761885870332375,0.0159827100565577,1.0418093423539417e-05,0.0007783511069906,0.010739848739622
Cora,WDES_EigCentrality,3,0.3286464214978092,0.0079193376758425,2.3396007257821234e-05,0.0004865013351424,0.0109012525462919
Cora,WDES_Clustering,3,0.2284936866110993,0.0099657078734452,1.6593702960685482e-05,0.0006916391220585,0.0026932527809161
Cora,WDES_Degree,4,0.1348936549675597,0.015197296616228,1.255095502398093e-05,0.0009268212975813,0.0130672888690895
